,index,sentiment,cleaned_message
46,46,Bullish,tsla sampp inclusion can still happen battery day money mouthface
47,47,Bearish,tsla end of con artist
48,48,Bullish,tsla teslas sale be up more than over the last year accord to datum from sampp global market intelligence
49,49,Bearish,tsla wow sell big time
50,50,Bullish,tsla get new bull flood in and bear still think they be safe
51,51,Bullish,tsla i hope market maker do not screw with us never be so obvious stock will go up and that bad probably hard dump right after battery day be prepared to lock profit and eject
52,52,Bearish,tsla crash crash crash get ready
53,53,Bullish,tsla let bring the cage out time for bear trap this week bears dont you realize that tesla make its own rule by now no need for your explanation
54,54,Bullish,tsla wait till battery day collision collision collision collision
55,55,Bullish,nkla once the nikola truck and badger etc come out and sell like hotcake in month and year to come nikola may be big and well than tsla some day think
56,56,Bearish,tsla expect drop any time
57,57,Bullish,tsla all the good bull need to cover my loss
58,58,Bullish,tsla when bear start barking that how know the stock be go up
59,59,Bullish,tsla cover bear or feel max pain
60,60,Bullish,tsla when be battery day
61,61,Bullish,tsla today let us do this
62,62,Bullish,tsla bill gates smoke the wrong sh
63,63,Bearish,tsla sp board still laugh at the great tsla con artist
64,64,Bullish,tsla it touch on and with it be the week it be on top of the new information that be come out this morning i can not see it not get to atleast that point again before friday extremely
65,65,Bullish,tsla regardless battery day will generate some upward trajectory by then soonarrow moneybag fire
66,66,Bullish,tsla nasdaq future look tasty
67,68,Bullish,tsla we be so overdue for big day
68,69,Bearish,tsla you all should do your research on tesla before investing lot of people be say this be not car company of their revenue come from auto sale thats auto sale leasing and other related energy storage tesla be high price evs and they only sell per year toyota sell vw sell this be each ford sell time as many truck in the united states then tesla sell auto in the world sorry to inform all you investor but there isnt santa claus and space be not part of tesla yet the valuation of tesla be more than all of these behemoth automaker put together the valuation be year down the road for tesla and people be pay today for valuation in the future by year lot could happen in year theres also lot of competition every automaker make ev plus have variety of other option theres ton in new ev maker panasonic make teslas battery
69,70,Bullish,tsla how bear feel who short and hibernate
70,71,Bullish,tsla when robinhood crew wake up fomo will kick them really hard easily
71,72,Bullish,tsla pt
72,73,Bullish,tsla i love it when bear get desperate it can only mean thing for that stock up up up
73,74,Bullish,tsla elon say believe and you will profit mathews
74,75,Bearish,tsla tesla ceo elon musk tweet friday that tesla stock price be too high imo this tweet be back in may not much as happen since then they didnt get into the sampp which be the big deal so please dont blame your fearless leader if the stock crash its go up since then and elon must be say enough be enough to himself he know this just will start crash tesla be price for possibly year down the road there be huge competition lot of really good evs the only thing the competition have the tesla do not there be whole line of vehicle truck and so on toyota and tesla battery be build by panisonic toyota have autonomous and they sell vehicle year tesla sell if they be lucky end it will take year in lot of factory to build tesla it be worth twice what toyota be worth what be wrong with this picture also assume everybodys go to want an expensive ev to drive
75,76,Bullish,tsla everyone need to become bull right now if theyre try to make money
76,77,Bearish,tsla the only way battery day be go to mean anything to me be that they come up with mile battery that doesnt need charge if thats the case then i be totally wrong about battery day maybe elon solve perpetual motion if so i will eat my word and we will have bunch of run around with perpetual motion he could sell it to all of the other auto company and will put an end to climate change and every other bad thing that we be face with otherwise battery day will be just bunch of hype totally meaningless
77,78,Bullish,tsla on track for potential open and only up from there highvoltage highvoltage highvoltage highvoltage highvoltage
78,79,Bearish,levermann us megacap sell wk aapl amzn wmt tsla jpm
79,80,Bearish,tsla
80,82,Bullish,tsla there may not be another pullback till battery day pt
81,83,Bullish,tsla bear go bother nkla grinningfacewithbigeye
82,84,Bullish,tsla not problem now fire
83,85,Bullish,tsla reuters say sampp could still happend any day what surprise inclusion on batteryday and lot of other supernew this could hit percent over night love it elon tell us that there would be some real huge surprice bear bbq
84,86,Bearish,nkla the gm dealmwas all about gm have the right to get into the direct to consumer market which exist franchise law on its brand forbid between tsla rivian and spaq all sell truck or suv direct to consumer the main profit engine for gm gm see this as big threat they cant solve so as an owner of nkla gm can now ship its tech as badger direct to consumer thats what this deal be about and why no sweatband it because neither side discuss this for obvious reason its gms way of get around dealer franchise law period
85,87,Bearish,tsla dear spineless analyst be there any analyst out their that read stocktwits if so why dont you say something about the valuation of tesla and why it be so overvalue be you afraid of the cult this be car company that be barely survive financially the only reason that it be go up be anything mr musk say have to be gospel downgrade this sucker like it should be do elon threaten you even cramer give me break
86,88,Bullish,tsla hey there what do you expect from battery day my main hope cheap battery new cheap car in next year to become profitable on the core business of sell car and less dependent on sell carbon credit foldedhand
87,89,Bullish,tsla tesla recruit in china
88,90,Bearish,tsla tesla sale over the month period fall from in through july to over the same period this year and its share in the ev market plunge from to
89,91,Bearish,tsla you guy have calculator on your phones right tesla be value at they sell car so if you divide into what you get the value of tesla be per car that they produce how do that make any sense elon say tesla will increase production by per year for the next year this may be difficult but i come up be after year they will need to make profit of per vehicle to break even at the current valuation
90,92,Bullish,tsla go to laugh my ass off if this happen this week on top of batter day come sampp could still happen
91,93,Bearish,tsla battery day hype mile battery when your car fall apart in year you only have mile leave then you put it in the nuclear waste dump and someone come up with well battery sort of like apple computer and phone you have to buy new every year or their outdate dumps will be full of battery with mile leave on it will take year for most people to drive mile in car so really who give shit if the battery last mile and be in the dump with leave on it we will have energize dump they can run cord and charge up the dump wtf be you kid its also counterproductive for company to build car that last year someone will only need car for their life their kid life and their grandkid life
92,94,Bearish,tsla the worlds most valuable carmaker could be face another correction accord to steve kalayjian chief market strategist at online trading platform ticker tocker quoti think that theres go to be some underlying support on tesla probably around the levels kalayjian tell business insider quotany more bad news on tesla and therell be herd mentality towards massive sellingquot
93,95,Bearish,tsla richard henderson and eric platt in new york financial times sep pm edt many say they remain all in on tesla despite the record day plunge in the stock of per cent on monday even after recent fall tesla equity be worth almost time the sum of general motors ford and fiat chryslerquot yet teslas sale be less than of the aforementioned company everything go in teslas favor with several new factory in the planning stage in less than year teslas earning may be behind these company
94,96,Bearish,tsla lithium ion battery manufacturers systems automotive energy supply corp lg chem panasonic samsung sdi toshiba amperex technology atl bak group tesla be not include so hows tesla go to get on this list it must be battery day actually panasonic supply most everything for tesla battery and also toyota battery so whats proprietary about anything thats go to be say on battery day mile how many people be go to be drive mile on their current car i think they should make mile battery that self destruct and turn into dust that doesnt have to go into the landfill right at mile now that would be good invention because who be drive mile in tesla or any ev
95,97,Bullish,tsla let us do this buy buy buy go to double up in min
96,98,Bullish,tsla battery day around the corner
97,99,Bearish,tsla from regulatory credit make tesla profitable last quarter without them turn in the credit they would not have be profitable tesla turn in the credit to be profitable to get in the sampp the sampp pass them over as you recall they waste all those credit could he use them for the next couple of quarter and then maybe they would lose so much in november when they report third quarter earning quottesla sale over the month period fall from in through july to over the same period this year and its share in the ev market plunge from to quot last month tesla sell car in europe approx car in china sale be slow down in both europe and china
98,100,Bearish,tsla tesla be the most valuable car company in the world and worth more than vw and toyota put together like i mention before both of those company sell thats not like tesla vehicle per year
99,101,Bullish,tsla the world always welcome new well tech
100,102,Bullish,tsla in talk for strong consideration of sampp inclusion once again very soon also battery day come in week very bullish moneybag moneybag
101,103,Bullish,tsla open please
102,104,Bullish,tsla think bear just spamme this blog with un related news in order just drop the sentiment
103,105,Bullish,tsla go
104,106,Bullish,tsla i wonder how someone will feel when we will be at by eom and they do not buy at this current price
105,107,Bullish,tsla plus today
106,108,Bearish,tsla only matter of time nhtsa recall hypedfeatures put peopleliferisk releasecheck
107,109,Bearish,tsla yikess
108,110,Bullish,tsla if you think telsa be expensive it be more expensive in asian country
109,111,Bullish,tsla possible sampp inclusion soon
110,112,Bullish,tsla tesla roba taxi app leak news cc tv camera already en bed in every tesla model on battery day
111,113,Bullish,tsla quotit will go into the sampp theres no way it can not at some pointquot say tim ghriskey chief investment strategist at inverness counsel in new york
112,114,Bullish,tsla flexedbicep partyingface rocket
113,115,Bearish,xpev be be sue by tsla
114,116,Bearish,cnbc breaking news tsla just announce its buy nkla to close this drama down immediately to stop it be an embarrassment to the whole ev industry furthermore it have retain the service of musk partner llc the most prominent law firm in the entire world to sue fraudster trevor milton by freeze his account and seize his passport and property
115,117,Bullish,wkhs as it break above may get interesting tsla nio dphc gm be other hot stock today wkhs have pende news with usps worth dollar
116,118,Bullish,tsla today
117,119,Bullish,tsla bbq bear burger for everyone today
118,120,Bullish,tsla here be the theory there be milion tesla on the road now with the announcement of tesla their new hailing app it would push the company value above bilion that to the current stock price base on the company evaluation of uber uber car driver current evaluation bilion tesla on the road milion will be produce this year if we say percent will go to turn to taxis thats bilion dallor evaluation
119,121,Bullish,spaq if you be new investor in the ev space what do you tell your friend to buy serious question spaq tsla nio hcac other idea
120,122,Bullish,tsla the beat go on rise and shine
121,123,Bullish,tsla wish i would have grab more spread for battery day
122,124,Bullish,tsla morom fam
123,125,Bullish,tsla nice gap this morning want again
124,126,Bullish,tsla accord to my calculation the fair value be for the time be
125,127,Bullish,tsla this be the real company unlikely nikola who just want to grab some gold from this rush
126,128,Bullish,tsla consumersreport be do nhtsa job hypedfeatures put peopleliferisk
127,129,Bullish,tsla there be no white america there be no black america there be only america and it be the united states of teslamerica
128,130,Bullish,tsla if you like to make big money today go in now it will rally hjli merger news come out today or tomorow
129,131,Bearish,nkla free money to short this stock today make up for last week tsla msft aapl
130,132,Bullish,tsla think ill buy some otm call not sure which date but worth shot to make some money here
131,133,Bullish,tsla nasdaq drop tesla popping i love it
132,134,Bullish,tsla think it will go down to and close to
133,135,Bullish,tsla moneybag plus today
134,137,Bullish,tsla will go head to head with uber and lyft market share cheap insurance and leasing program and free supercharging
135,138,Bearish,nkla see nikola look at that tsla spike i say would happen pm
136,139,Bullish,tsla aapl orcl if i be to buy all out call which would make the most be plan on do oracle today apple at the end of the day and the tesla upside downface upside downfacelike hopefully the other make lot so i can go big on tesla foldedhand foldedhand
137,140,Bullish,tsla i can not agree more what elon say thumbsup thumbsup chartincrease rocket flexedbicep moneybag whiteheavycheckmark
138,141,Bullish,tsla great article just out minute ago
139,142,Bullish,tsla tesla bilion capital rise will be use to establish new ride hail app for tesla car and directly compete with uber and lyft expect plus after announcement
140,143,Bullish,tsla if trevor do not show some evidence for all the acquisition we may see quotthe big short part quot
141,144,Bullish,tsla leak of ahead of battery day tesla will lunch ride hail app before go to full automation after the announcement
142,146,Bullish,tsla soon before battery day mile battery and product reveal
143,147,Bullish,tsla repeat after me bear back to eat out of can again facewithtearsofjoy rollingonthefloorlaughe rollingonthefloorlaughing rollingonthefloorlaughing dollarbanknote dollarbanknote dollarbanknote dollarbanknote dollarbanknote dollarbanknote
144,148,Bullish,spaq new article with comparison to tsla and nkla
145,149,Bullish,nkla do not ever disrespect my boy elon and buy this piece of shit again most startup company usually fail and tsla will always be number in this sector now let us chase this money and get some tesla call this week
146,150,Bullish,tsla good morning to everyone out there get ready for some fun today
147,151,Bearish,nkla tsla nio holy crap nikola beat both tesla and nio for the first time in volume facewithtearsofjoy facewithtearsofjoy thumbsup thumbsup thumbsup thumbsup confettiball partyingface partypopper collision clappinghand facescreaminginfear
148,152,Bullish,tsla bears post screen of your put facewithtearsofjoy clownface
149,153,Bullish,spy bear get cocky do not forget we have papa powell amp baby jesus on our side smilingfacewithhorns hundredpoint tsla amd aapl nvda
150,154,Bearish,tsla not on good footing here over short interest and down last week more volatility on deck this week should see under within day
151,155,Bullish,tsla if there be good news on battery day price go to easyy its pretty simple dont even over complicate it everyone will be listen everyone
152,156,Bearish,tsla crowd be invest here not in company but in person should smth happen with person company be out
153,158,Bearish,nkla nikola bear walk to their macbook pro to cop that tsla roadster after cash out their put money mouthface
154,159,Bearish,tsla take history lesson from here be you willing to not see your money back for year do not buy hype and learn from the dotcom day hype stonk with insane like tsla will ruin you buy the bottom this be not it yet
155,160,Bullish,tsla if you be bear i suggest you stop trade for while or forever
156,161,Bullish,tsla nkla nikolas scamming and fraudulent action be go to benefit us in huge way this will give tsla more credibility and youll see more investment firm start change their quotovervaluedquot opinion and price target on us usb already change their opinion they double their previous target that combine with the fact that the other micro competitor be year behind us add more fuel to the fire batteryday
157,162,Bullish,tsla back to soon rocket
158,163,Bullish,tsla this bull be look healthy eow
159,164,Bearish,tsla for those who buy at the top it can take this much time to see your money back buy overvalue overhype stonk be financial disaster that can ruin you for long time
160,165,Bullish,tsla futures be green premarket be fly bull be chant and bear be shit what lovely day to begin with redheartselector
161,166,Bullish,tsla if elon have of fan then i be of them if elon have only fan then i be the if elon have no fan leave then that mean im dead
162,167,Bullish,tsla dare you mf bear i double dare you
163,168,Bullish,tsla it be pre market lol call be go to rip through the roof this week bet
164,169,Bullish,tsla think the bear be freak out looll thing start to mix up to them between nikola and tesla lol
165,170,Bullish,tsla come bear bare knuckle i own you bwaahahhaha
166,171,Bullish,spaq over here about to hit merger with another huge company amp nkla still trend base on it be just pure trash bull should have get out friday i tell so many so nice about it they all just talk crap to you anyhow can not wait to open position in spaq today and buy some call for tsla aapl idex move your ass
167,172,Bearish,tsla stonk price be too high imo facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy everyone who buy the top during the dotcom bubble do not see their money back for year be careful buying overprice stonk run on hype buy the bottom always and this be not it yet
168,173,Bullish,tsla bears day trade bulls invest bear all sit in front of screen mommys put preparation on bears face to stop quotscreen burnquot facewithtearsofjoy rollingonthefloorlaughe rollingonthefloorlaughing rollingonthefloorlaughing rollingonthefloorlaughing youre go to get burn alright
169,174,Bullish,tsla i guess the say misery love company and look at all the lonely bear want to be part of this bull party
170,175,Bullish,tsla how be bear how be your put do got to tell you you deserve it loong time ago
171,176,Bullish,tsla put about to open worthless
172,177,Bullish,tsla when price go up and bear start spamme its because theyre desperate
173,178,Bullish,tsla if i be short i would sell those put or cover short right away luckily i be not short
174,179,Bearish,tsla just like elon say quotstonk price too highquot y all even check and market cap feel sorry for the dumbass who buy the top baghold for faw year
175,180,Bearish,tsla lol ppl still think at catalyst battery day sampp inclusion fools what drive the price high in august be softbank and their option play
176,181,Bullish,tsla easy open before run to
177,182,Bullish,tsla facewithtearsofjoy profit per every ev produce
178,183,Bearish,tsla see flood of bagholder facewithtearsofjoy facewithtearsofjoy buy high sell low amirite
179,184,Bullish,tsla after be guarantee momentum this week could carry this to by end of week highvoltage
180,185,Bullish,tsla we will undoubtedly see strong ret of today chartincrease
181,186,Bearish,tsla pigface
182,187,Bullish,nkla stop lose money bag hold this false dream if you want to be rich get tsla call this week for the runup to battery day on that will be smart financial decision you will ever make in your life
183,188,Bullish,tsla premarket will monday look like friday
184,189,Bullish,tsla pt justify by mile on charge
185,190,Bullish,tsla i remember tsla run do not care about the market its have mind of its own
186,191,Bearish,nkla investor be the big idiot who think this be go to be the next tsla cmon the companys name alone tell you should stay away from it
187,192,Bullish,tsla tesla bull on rage hette ready for battery day
188,193,Bullish,nkla take my profit from put and get call on tsla next battery day baby let 's go
189,194,Bearish,tsla this evaluation have get to come back to reality wild speculation be lead me to sideline more and more cash if this isnt sign of irrational exuberance i dont know what be
190,195,Bullish,tsla aapl i be back mechanicalarm mechanicalarm waterbuffalo waterbuffalo these will cross run hard
191,196,Bullish,tsla block every bear and chill will be print by battery battery day
192,197,Bullish,tsla bear have nothing to say today lol only sudden fall i have an only news for you the price drop already happen time to go up
193,198,Bullish,nio tsla
194,199,Bullish,tsla and middle finger for all bear
195,200,Bearish,tsla sp board still laugh at tsla con artist
196,201,Bearish,tsla how about sp today
197,202,Bullish,tsla bear on battery day
198,203,Bearish,nkla dont compare this fraud to tsla
199,204,Bullish,tsla look like bear be cry now
200,205,Bearish,tsla up facewithtearsofjoy
201,206,Bearish,tsla sharp fall come
202,207,Bearish,tsla dont be surprised at in minute
203,208,Bearish,tsla last moment of
204,209,Bearish,tsla soon or later bear to under it be trap to steal your money escapenow
205,210,Bearish,tsla ha ha battery day my foot no care anymore
206,211,Bearish,tsla fake ceo will only create fake
207,212,Bullish,tsla dont worry bears mommys basement still free facewithtearsofjoy rollingonthefloorlaughing facewithtearsofjoy rollingonthefloorlaughe rollingonthefloorlaughing rollingonthefloorlaughing rollingonthefloorlaughing
208,214,Bullish,tsla bear are bad human beings why would you guy want good company to fail guy cmon
209,215,Bearish,tsla good pr ever you get to give them that and news every min
210,216,Bullish,tsla if you be bear on this youre clearly trap put about to be worthless on open
211,217,Bearish,tsla let see how it crash from here tod ya
212,218,Bullish,tsla bear be you still wait for the dip lol clownface
213,219,Bearish,tsla eod clownface
214,220,Bullish,tsla look at before open
215,221,Bullish,tsla future just consolidate little bit about to keep run
216,222,Bullish,tsla week till battery day bear will be execute properly only so we do not spoil the meat to eat all winter
217,223,Bullish,tsla if it break to today you can kiss good bye the
218,224,Bullish,spy aapl unitedstate cowboyhatface tumblerglass
219,226,Bullish,aapl will be raisinghands raisinghands raisinghands raisinghands
220,227,Bullish,aapl eod event surprise
221,228,Bullish,aapl go up aaple backhandindexpointingup backhandindexpointingup backhandindexpointingup backhandindexpointingup
222,229,Bullish,aapl be careful dont be bagholder
223,230,Bullish,ostk dkng crwd avgo aapl
224,231,Bearish,aapl
225,232,Bearish,aapl life be well with flip
226,233,Bullish,adbe fdx aapl new week high this week
227,234,Bearish,aapl nobody care about apple big deal you could save dollar or if you do not have the sub now you be not go to say well it be too expensive before but now that i can save month i be in
228,235,Bullish,aapl lookijg for bounce from here
229,236,Bullish,aapl we have liftoff rocket rocket rocket rocket
230,237,Bullish,aapl she will fly all week
231,238,Bullish,aapl we open today and chug along to locomotive locomotive locomotive
232,239,Bullish,aapl uptrend during the day ox
233,240,Bullish,amd the arm deal with nvda could very well push aapl to amd for its new smartphone chip
234,241,Bullish,aapl tomorrows event
235,242,Bullish,aapl lousy premarket action low trend continue i really hope be wrong bullish on the stock regardless
236,244,Bullish,aapl pandemic sale low pe fedsupport market easymoney dont miss out
237,245,Bullish,spy mad dash to now to make day on monday have great green yrade day amp go spy msft aapl goog amzn moneybag moneybag moneybag moneybag moneybag moneybag moneybag moneybag moneybag moneybag moneybag moneybag moneybag moneybag moneybag moneybag moneybag moneybag moneybag moneybag moneybag moneybag moneybag moneybag moneybag moneybag moneybag moneybag moneybag
238,246,Bullish,aapl today there be an almost chance that bear could come back only brexit politic be small but already calculate risk factor here
239,247,Bullish,aapl come
240,248,Bullish,aapl morning arrive love to this run to smilingfacewithsmilingeyes smilingfacewithheart eye greenheartin the trading hour
241,249,Bullish,aapl sept be tmrw new iphones announce let 's end the week at
242,250,Bullish,aapl let us close today
243,251,Bullish,aapl be not go to cut it aaple i need wake up aaple
244,252,Bullish,aapl only go up from here pump ill take it and the other pump at open and the next and the next
245,253,Bullish,aapl do not do it to yourself do not be of those that in month will say damm i know i should have buy aapl when it be below we all know we will very soon
246,254,Bullish,aapl pump and dump or dump then pump today
247,255,Bullish,aapl tomorrow be the day
248,256,Bullish,aapl rocket rocket rocket
249,257,Bearish,aapl tech bubble burst
250,258,Bearish,aapl amzn what surprise you here bull
251,260,Bullish,aapl up up up fire winkingface
252,262,Bullish,wkhs have buy rating with dollar pende mail truck contract with usp the fact arkq load heavy of wkhs and they be in portfolio mean wkhs share look great to legendary trader and investor cathie wood very bullish on all ark stock in the portfolio amzn be bullish be aapl spce be wow rok be wkhs clearly have major catalyst to move up like that on arkq list
253,263,Bullish,aapl hope apple do not release another generation of airpod just get airpod pro month ago lol pump for the spatial audio that go to be amazing
254,264,Bullish,aapl minimum today
255,265,Bullish,aapl let 's do this
256,266,Bullish,aapl by eod
257,268,Bullish,aapl load up
258,269,Bullish,aapl ask for sign to be bullish be plain stupid
259,270,Bullish,nkla my portfolio be only stock at the moment shit ton of share and call for both idex and aapl put for nkla
260,271,Bullish,aapl anyone else see all stock be do the same thing
261,272,Bullish,aapl wtf bearface moneybag plus today
262,273,Bullish,aapl pt today handshake handshake explodinghead explodinghead
263,274,Bullish,aapl bullish just watch today and tuesday will be surge and wednesday bull will have continue after effect then thursday calm down and the follow weeks until october iphone release will be another good news again
264,276,Bullish,goldman deutsche say us stock selloff may be close to an end spy qq aapl
265,277,Bullish,aapl be arm acquisition from nvda bad news for apple
266,278,Bullish,aapl today eye
267,279,Bullish,aapl you can always tell the short seller and owner of put they freak out pm post negative comment every secs grinningsquintingface facewithtearsofjoy
268,281,Bullish,aapl open by eod should get new iphone reveal this week at the reveal party
269,282,Bullish,aapl aapl dkng pypl msft dot com boom watch grinningsquintingface dollarbanknote rocket
270,283,Bullish,aapl eod
271,284,Bullish,aapl good morning have nice week everyone
272,285,Bullish,aapl condition be different this week it be beneficial to push the price down last week and extend the tech sell off so as to reap maximum benefit this week with the main event of the year by apple there be simply no profit for the big boy if they be to continue push this any lower be patient and hold till tomorrow do not be intimidate by those late to the party
273,286,Bullish,aapl bloomberg be part of medium politic work on direction of dems to keep market down with negative news watch apple run to tomorrow when tim cook reveal the design and spec for iphone apart from watch ipad and potentially apple play for car rumor mill have that apple may be launch more service offering in music games entertainment and fintech area
274,287,Bullish,aapl relax people most platform you can not buy for another hour smirkingface we off to instantly at bell
275,288,Bullish,aapl on august th share of apple be worth imagine if you have the vision and foresight of buy just dollar of share back then explodinghead mighty be the oak of just single mustard seed
276,289,Bullish,aapl nice gap up i hope it hold
277,290,Bullish,aapl great week we rebound from low and now we consolidate or continue upwards momentum this week be huge and load with catalyst for apple selling be fool errand the correction be over now we face off with stagnation
278,291,Bullish,aapl lookin like top pre market around hopefully end of day
279,292,Bullish,aapl so many who miss the boat last week try to bring price down pre market with scare tactic
280,293,Bullish,aapl not run
281,294,Bullish,aapl bearface skull bearface clownface bearface skull bearface clownface bearface lol do anyone see the difference between the emojis
282,295,Bullish,aapl oh shocker blackburn be lose his ass facewithtearsofjoy
283,296,Bearish,nkla take your loss now buy aapl qq tsla or amzn
284,297,Bullish,aapl strong buy handshake handshake explodinghead explodinghead
285,298,Bullish,aapl pt for today i feel like we get runner
286,299,Bullish,aapl fyi this be appetizer tomorrow we feast
287,300,Bullish,aapl today
288,301,Bullish,aapl will this shit on us by open bell like it always do when it gap up my call
289,302,Bullish,aapl no pump and dump this time this the real deal rocket greenapple rocket greenapple rocket
290,303,Bearish,bull be like stupid tsla aapl
291,304,Bearish,aapl pop and drop today lol rollingonthefloorlaughing facewithtearsofjoy facewithtearsofjoy
292,305,Bearish,aapl tsla must read for the bull
293,306,Bullish,aapl i need
294,307,Bullish,aapl pre market open end of month
295,308,Bullish,aapl i say we top at pre market
296,309,Bullish,spy tsla aapl amzn let the short covering begin now fire fire rocket rocket
297,310,Bullish,aapl mansurfingselector mansurfingselector
298,311,Bearish,what crock of unregulated manipulate bullshit by fraud st and crony be this the good hey can up with dont drink the juice these creep be in fail mode enjoy the depression on its st anniversary september to november us stock future rise early monday morning after sell off in tech share lead to the market first back to back weekly decline in month dow jones industrial average future trade point high the sampp and nasdaq future be also in positive territory tsla aapl
299,312,Bullish,aapl what happen fri all the analyst be publish opinion inversion narrative
300,313,Bullish,aapl can we able to buy at am in us
301,315,Bullish,ba let us get this bad boy trend today aapl tsla
302,316,Bullish,spy tsla amzn aapl gold market say fed will pump fire rocket
303,317,Bullish,aapl qq dead cat bounce myth bust reversal confirm
304,318,Bullish,wimi aapl apples holographic technology have also be apply to its own technology but it will not be until october
305,319,Bullish,aapl bro can we get
306,320,Bullish,aapl by the end of year easily
307,321,Bullish,spy tsla aapl amzn tech be back fire fire rocket rocket
308,322,Bullish,aapl be go back to do not sell great buy right now
309,323,Bullish,aapl bear bearface sucker never win
310,324,Bullish,aapl germany
311,325,Bearish,at amest eu usd tsla aapl eu to usd tsla germany aapl germany indices index future energy low volume in germany vs usa when premarket open at amest there be no long story here you jawbone stupid and waste broadband tesla apple tards carry on short oil and stock market at large for profit enjoy the depression there never will be vaccine cure for coronavirus rex ignore the jawboning stupid by fraud street crony whitehouse cnbc trump et al enjoy the red just short long be for losers bearface redheart moneybag heavydollarsign smilingfacewithhorn beamingfacewithsmilingeyes
312,326,Bullish,aapl apple in mars
313,327,Bullish,aapl choo choo
314,328,Bullish,aapl apple fitness subscription service come apple bike too
315,329,Bullish,aapl this will open and climb to by close maybe if the fomo be real
316,330,Bullish,aapl can we hit percent up before the open maybe percent at the close i know all the bear can not wait to cover so that mean keep buy this bad boy thill it blast off tmrw
317,331,Bullish,aapl tmrw
318,332,Bullish,aapl up up and away
319,333,Bullish,aapl good morning all do any like fry bear apple be up in germany here we go
320,334,Bullish,aapl eow
321,335,Bullish,aapl okhand rocket greenapple
322,336,Bullish,aapl double bottom up we go again lol
323,337,Bullish,aapl open close above tomorrow
324,338,Bullish,nkla you want to follow trust aapl nikola bearishness
325,339,Bullish,spy aapl apple launch this fall
326,340,Bullish,msft aapl
327,341,Bullish,aapl tsla
328,343,Bullish,nio tsla aapl seriously i have never buy any stock that i be so confident of other than these rise all week i be very sure
329,345,Bullish,aapl look like to pre market try to get it cheap all day runner and tomorrow also
330,346,Bullish,aapl bearfaceare trap pawprints pawprints redheartselector pawprints winkingface newspaper newspaper ox ox greenheart greenheartnice start of the week india dollarbanknote india presentation and fed come airplaneselector
331,347,Bullish,aapl spy qq xlk never bet against apple or america in the long term smallbluediamond
332,348,Bullish,fb aapl amzn nflx googl yee haaw rocket rocket money mouthface money mouthface
333,349,Bullish,apple be up in germany in usd aapl qq spy nasdaq
334,350,Bullish,aapl
