index,sentiment,cleaned_message
63,Bullish,wkhs on the list in the portfolio ark do not sell single share on the list be tsla goog amzn aapl and other high quality company be also on the list i dowloade the late fund holding cathie wood from ark investment be bullish on in arkq portfolio and it as expect check for yourself here arkfundscomarkq no wonder wkh go up we have pende usps mail truck contract and own of dphc aka lordstown motor
64,Bullish,please no insult just think about why it take so long not all acquisition happen as quickly as you represent goog have yet to complete its acquisition of fit googles fitbit acquisition be get close scrutiny from
65,Bullish,orcl msft will bail they dont want to pay plus profit sharing for something they can develop themselves and they sure as hell dont want to share with wallymart orcl will win by default unless goog or fb do last minute entry
66,Bullish,goog wonder if goog will put in last minute offer for tiktok
67,Bullish,dnkn
68,Bullish,dnkn here be an actionable observation the drive through line at dunkin be jam up traffic on adjacent road lol kinda hard to be bearish when it be right in your face
69,Bullish,dnkn i like to trade where i spend delicious pumpkin spice latte
70,Bullish,amd mu mrvl its official bull market
71,Bullish,mu dont worry anymore bagholder i buy some share today youre safe now put be worthless start tomorrow bottom be in
72,Bearish,mu this disaster since quant sell signal almost to target follower close put there
73,Bullish,amd mu mrvl so much for turnaround tuesday how about wapatuli wednesday ill bring the bacardi
74,Bullish,roku expect to follow goog as they be both ad spend resurgence investing idea and both run today armrreport add
75,Bullish,goog lead the charge today an armrreport add
76,Bullish,mvis aapl tsla msft goog yall better hurry up somebody be about the back door this deal
77,Bullish,goog trader notes back above the fib feb high more room to the upside if tech stay strong level resistance support im watch
78,Bullish,goog in with share
79,Bullish,goog tomrw thinkingface
80,Bullish,be on cue blackout roll across california after goog and other press for more microgrids
81,Bullish,snap low low and low low
82,Bullish,snap continue to consolidate above support move up thru could get thing move again
83,Bullish,snap blast off to by
84,Bearish,some bearish ticker to keep in your watch list thumbsdown ge gt this have be in good downtrend plus we have descend triangle now put volume today be about while call volume be only about if this break the current support expect it to go down bit before settle thumbsdown crbp gt very risky play but the price action seem okay for bearish play decent resistance at and if thats not cross expect more downward movement however the company have some drug in the pipeline not long term play at all thumbsdown mac gt like this the trend line doesnt seem too controversial its clear the price have touch it time if it doesnt go above it good bearish setup thumbsdown snap gt this break the long term up trend few day ago by go below both and ma as long as it doesnt cross the mas again good bearish setup
85,Bullish,snap ark investment buy share today
86,Bullish,snap i be in retest do let go collision rocket moneybag
87,Bullish,srne spy baba msft tsla test this be the simple comparison for the top fast test backhandindexpointingdown you tell me which be better
88,Bullish,msft holding call here on the nice inverse head and shoulder setup this will take out soon maybe by the end of the month patience will continue to pay here daily chart
89,Bearish,qq appl msft goog do not need or deserve piece of everyone prize simply put
90,Bullish,msft qq spy trade idea the have be support price action since may of this year until that support be break on daily timeframe i be bullish ovrall there isnt to much of position i would be willing to swing here as i be either wait for test of the for long or for short very bullish long term on this follow me for stock discussion and analysis
91,Bullish,amzn fb aapl msft time to add few to the market cap rollingonthefloorlaughing few more split and we golden
92,Bullish,dbx back in for share below
93,Bullish,my hot stock prediction for this week of dbx target eow lmnx friday close look for eow nptn target eow cort target eow mcs target eow
94,Bullish,epd jmia dbx rf rtx jam right
95,Bullish,snap still in the squeeze channel for next week call be cheap and be be accumulate at cheap price next week boom
96,Bullish,twtr tza dkng snap fcel unicorn in the moon
97,Bearish,snap you really have to believe in the product and leadership to invest in company with number like these and for that reason im out
98,Bullish,snap chart so far snap do not want to break down it seem more likely to rally tight sideway trading be bull and bear have equal conviction lead to strong breakout way of the other once side decide to give up i hope the move be up tomorrow let 's see
99,Bullish,snap call
100,Bullish,snap snap back time
101,Bullish,snap then ride the bigly bull
102,Bullish,snap buy buy oct call new phone new mac new ipad
103,Bullish,snap still very alive let 's breakout tomorrow rocket rocket rocket rocket rocket rocket rocket rocket rocket rocket rocket rocket
104,Bullish,tech be setup on multiple timeframe heres the monthly chart first to show the big picture googl nflx fb baba qq
105,Bullish,nflx good day today head back to
106,Bullish,nflx load call smilingfacewithsunglasses
107,Bullish,nflx hold up well
108,Bullish,tsla what waste bear
109,Bullish,tsla the shake out before the break out get ready boy
110,Bullish,tsla all drop reverse instantly
111,Bearish,tsla and this sucker be toast smilingfacewithheart eye bearface
112,Bullish,gs buy call for tomorrow it will jump from here quick scalp
113,Bullish,gs loading here
114,Bullish,capr jpm all take position on this dmd approval should take this to the even dmd drug econ skip show no clinical benefit fda still approve those do not treat non ambulatory kid cap be the only that work with non walking kid wheel chair
115,Bullish,tsla i wonder if gs lend his money moneybag printing machine smilingfacewithsunglasse facewithmonocle
116,Bullish,ttm keep accumulate
117,Bullish,ttm go baby go
118,Bearish,nflx drop fro to very disappointing
119,Bullish,the streaming app booyah be rank th on google play se but nflx something different haha rocket crescentmoon moneybag unitedstates tumblerglass flexedbicepsmedium lightskintone
120,Bullish,amzn up from here imo smilingfacewithsunglasses
121,Bullish,amzn aapl shop tsla techs be recede their today gain slowly
122,Bullish,amzn this bitch disappoint us now come on do your pre er run up like you do always
123,Bullish,amzn run bitch
124,Bearish,amzn calm down bull she be old faithful and will return to area
125,Bullish,rs as result the company estimate that ton sell will be flat to up in the third quarter of in addition reliance management also expect its tolling volume to increase meaningfully from second quarter level to support current automotive production rate this improvement be not reflect in the company outlook for ton sell as tolling ton be not include in this metric
126,Bullish,chgg ready to continue this trend higher on this bull flag setup
127,Bullish,teum for those look for another covid play i find my second covid theme play check out lrn they offer platform for home schooling they charge per student and currently have about student enrol and this number will only grow exponentially high into the fall know majority of state go online thats thousand of school they also offer free tuition online enrollment which they receive the same per student from the government currently trade revenue compare to chgg trading own by tute and recently they receive pt by citronresearchcomcitronr there be lot of room for this to grow and very few people hold at this point i believe theyll perform similarly or well than what zm have do in the past month glty
128,Bullish,vbiv for those look for another covid play i find my second covid theme play check out lrn they offer platform for home schooling they charge per student and currently have about student enrol and this number will only grow exponentially high into the fall know majority of state go online thats thousand of school they also offer free tuition online enrollment which they receive the same per student from the government currently trade revenue compare to chgg trading own by tute and recently they receive pt by citronresearchcomcitronr there be lot of room for this to grow and very few people hold at this point i believe theyll perform similarly or well than what zm have do in the past month glty
129,Bullish,bcrx i bet we will have an amazing run this week i find my second covid theme play check out lrn they offer platform for home schooling they charge per student and currently have about student enrol and this number will only grow exponentially high into the fall know majority of state go online they also offer free tuition online enrollment which they receive the same per student from the government currently trade revenue compare to chgg trading own by tute and recently they receive pt by citronresearchcomwpconte there be lot of room for this to grow and very few people hold at this point i believe theyll perform similarly or well than what zm have do in the past month glty
130,Bullish,chgg gimme the
131,Bullish,i still like the online education play zvo be ramp up the last hour of yesterday trading day look for breakout twou should rebound and continue to climb and chgg be of course large player in the game look for some of these company to continue to expand partnership with major university as they move fall online boxl lrn
132,Bullish,chgg nice quotbar playquot buysetup for chgg today watch the daily and hr chart
133,Bullish,zvo be on the move stra have be on sick run the last few session chgg move up twou great day yesterday small pullback lrn grind online education follow for more
134,Bullish,pso just hit day high pre market few minute ago i havent see them breach in while maybe something in the work with online education just fill an order at watch these online education stock twou big day yesterday continue momentum or profit pull today zvo profit taker take the last couple day after an incredible run i think this rebound and push again lrn have be popular to keep an eye on chgg love this product use countless time in college help lot
135,Bullish,chgg xx be near and can happen in few trading session follow me on slack for my trade in private channel sub require
136,Bullish,chgg by the fall do not get leave behind like newbie
137,Bullish,googl goog look like it want to ramp into earning
138,Bullish,boxl boxlight circle again make the hourly rotation round on cnn twc spy msft goog
139,Bullish,amzn im bet this be the catalyst for the pre earning run up hopefully i be right
140,Bullish,amzn call here expire this friday victoryhandmedium darkskintone
141,Bullish,twlo amazing win and count amzn nflx msft all llook bullish earning on deck chart courtesy
142,Bullish,amzn have solid am
143,Bearish,amzn thank you bull now keep her above till thursday market close
144,Bullish,aapl tiny tight coil next leg high coming
145,Bullish,aapl nvda nflx double down long
146,Bullish,aapl university of oxford vaccine be safe and induce early immune reaction early result suggest
147,Bullish,spy point of contention and chance to regain the low channel band aapl qq vix
148,Bullish,aapl wheres that guy brag all weekend about how he switch to all in on weekly put friday
149,Bullish,aapl time to go past this week policecarlight
150,Bullish,aapl look goddamn bullish whiteheavycheckmark
151,Bullish,tsla aapl nflx qq spy clappinghandsmedium lightskintone clappinghandsmedium lightskintone clappinghandsmedium lightskintone clappinghandsmedium lightskintone clappinghandsmedium lightskintone clappinghandsmedium lightskintone clappinghandsmedium lightskintone
152,Bullish,nio gs tsla new article
153,Bullish,nio gs tsla new article out over the weekend
154,Bullish,financial ytd performance gs jpm bac wfc once yield start to rise financial will bounce back wfc will have the big upside pt by fall
155,Bullish,nio gs tsla
156,Bullish,nio gs tsla sunday night must read
157,Bullish,nio goldman sachs gs be among the top owner of nio stock hence i be sure they believe that the true target price be at least near term correct screenshot
158,Bullish,plus without doubt friday pullback be pure manipulation i do not believe word come from gs
159,Bullish,nio tsla ba aapl guy obviously gs have stake in nio if you do not believe me check out the screenshot or see for yourself at this link obvious well play hit job by gs as they usually do the same with up and come company like nio why imo the peep at gs want in at the low price
160,Bullish,tsla always wild ride when you own tesla stock guess i should just buy ttm tata motor and sit back and enjoy the ride yawningface
161,Bullish,ttm nuts to see this so beat up
162,Bullish,ttm target hit algorithm prediction from last week
163,Bullish,ttm show some decent relative strength lets keep it go
164,Bearish,jpm
165,Bullish,wfc look good we in call strike xlf jpm gs gs jpm xlf financial money flow
166,Bullish,spg let 's run and slap on the face of stupid jpm analyst because they be buy at the low price jpm
167,Bullish,jpm market quiet before job report
168,Bullish,aapl i build my account trade mostly aapl option trust me next week we see and maybe even before this week end when it drop like this load up keep load up
169,Bullish,literally amazed by the amount people pay for video lesson training session webinar and chat room hear about guy charge for lifetime membership i give you all the tool and train information personally use to learn along with direct video playlist show you what to learn all totally free see profile clinkingbeermugs backhandindexpointingright fire spy roku aapl tsla bynd
170,Bullish,aapl btmfd near deciduoustree fortyish
171,Bearish,aapl its not sink its accumulating rollingonthefloorlaughing rollingonthefloorlaughing
172,Bullish,qlgn good looking chart i have see in while and very low float price target spy tsla aapl
173,Bullish,wfc more call than put whiteheavycheckmark breakout soon aapl msft spy xlk
174,Bullish,aapl look good today imo
175,Bullish,aapl ask grantham if this be bubble why be the vix in the i remember point intraday swing in dollar per share qcom during the internet bubble where you could get free investment advice in taxi cab that be euphoria this on the other hand be logical reaction to fed and government stimulus couple with the human trait of survival of pandemic and it be seed of hope and optimism drive it market psychology muscle have be pump and therefore can look through economic devastation it be not chutzpah dude pump by seemingly endless fear start with highly contest victory by trump follow by awful impeachment proceeding political attack on large tech growth and big pharma korean rocket launch tariff war pandemic and now social unrest history show incredible market recovery after pandemic bottom line dont let these underinvested dude steal your hard earn share
176,Bearish,aapl not promising close
177,Bullish,aapl this bitch be bad as shit oops do i say that out loud
178,Bullish,aapl got my apple phone today it come with extra sticker so i invent new laptop its call an apple asus lol got to love this company its like money in the bank
179,Bullish,spot and to think aapl miss on spotify nflx dropbox moneywithwing
180,Bullish,snap snap breakout of all time high look for continuation in the day ahead fb fb twtr twtr
181,Bullish,fb and what what
182,Bearish,td sell rs at supp resis hilo ty hold pe div reliance stock trade finance market
183,Bearish,snap red sentiment bulls well drink some coffee and take bump you have your work cut out for you all cheeto eater
184,Bearish,snap as predict love buy those cheap put this morn thank bulls
185,Bearish,snap close below the ascend wedge today head and shoulder pattern on large and small time frame
186,Bearish,snap close lod you bish
187,Bearish,snap its time flushh
188,Bearish,snap finish it low
189,Bearish,snap do not have chance here break down come
190,Bearish,snap just drop you pos
191,Bearish,snap here be the chart with the hamps pattern first support be second support third support it could see before this pattern see exhaustion
192,Bullish,dbx gear for big move
193,Bullish,dbx executive have make this stock poison everyday new execute sale of share or option they never keep em sad
194,Bullish,dbx all she need be little cramer bless last night
195,Bullish,dbx can be break today shit
196,Bullish,ttwo ddog fb goog twtr initiate position for earning on wednesday ah let 's moon
197,Bullish,twtr act great
198,Bullish,twtr nice reversal off vwap too
199,Bullish,mu what be that pop
200,Bearish,spy mu technicals be hideous let me load put
201,Bullish,tsla tesla die to pump to if market hold
202,Bullish,mark new tech company on the rise to re open america check their twitter remark holdingds huge catalyst in here tsla aapl fb
203,Bullish,tsla wall street expect tesla sale to grow more than in despite the covid pandemic whats more sale be expect to grow in compare with general motors gm sale on the other hand be expect to fall more than
204,Bullish,tsla finally the damn near break out
205,Bullish,tsla i be start to see teslas all over the south they be increase in popularity where do tesla produce battery nevada where be the large source of brine for lithium in america thacker pass nevada who be build mine on this spot lac the electric car revolution require lithium invest
206,Bearish,tsla have share of the global auto market second high market cap of all auto manufacturer no buy ev dumb crash and burn fire
207,Bullish,tsla we go boom boom this week when we pass
208,Bullish,tsla may liftoff right here
209,Bullish,funny how expert laugh and other chuckle about chipotle be way overvalue and the really smart expert look at them and nod back with straight face cmg really the smart expert under their breath be get the last laugh thinking ba quotomg this be come from person who think boeing and tesla be undervalued and steady stocksquot tsla lol
210,Bullish,bynd ready to roll chartincreasing policecarlight calls spy tsla amzn
211,Bullish,tsla add today couple share today some company you never sell be here few year ill never nail good entry but if i keep buy couple share here and there over time my account will thank me
212,Bullish,chgg when analyst upgrade downgrade it usually mean the opposite with this downgrade it probably mean the firm want to buy but price be high so they downgrade it same with upgrade usually mean they want to sell
213,Bearish,chgg bottom fall off its not unexpected its be party like several session in row pull back all the way to be not unreasonable expectation in the short term
214,Bullish,mu break over and we fly
215,Bullish,mu lets see how far these call move
216,Bullish,mu steal some ago
217,Bullish,mu here we go
218,Bullish,mu vwap break
219,Bullish,mu once we cross vwap well probably test and if we cross it we can really start to push
221,Bullish,mu time to jump on call super cheap and this could push strong from here
222,Bearish,mu yes sir short thank for more put on run up
223,Bullish,mu my little atm machine
224,Bearish,msft amzn amd qcom mu powell say yesterday that gdp could shrink more than httpswwcnbccom powell say jobless rate could toppercent but he doesnt see another depressionhtml powell also say that us unemployment could hit as japan enter recession world may global report coronavirus us unemployment could hitwarns fed chairman as japan enter recession
225,Bullish,ttm huge merger about to happen check out below eros international go to the stx website eros logo be already on front page or google it all
226,Bullish,ttm geez drop last day due to tata motors open up factory lol
227,Bullish,ttm big news
228,Bullish,ttm this be big deal especially for all the commercial vehicle space
229,Bullish,ttm want to break through
230,Bullish,ttm what to rip
231,Bullish,ttm what be the word on the street very interest for an er play long
232,Bullish,ttm
233,Bullish,ttm buy some january call for strike easy money here
234,Bearish,aapl spy qq amd jpm unemployment claim top in us from coronavirus commerce department report show consumer spending in march decline by percent
235,Bullish,buy more dis cat jpm
236,Bullish,jpm my last post for today we finish green and set up for huge friday lets goo bulls this be minimum stock today
237,Bullish,jpm over with green market come next
238,Bullish,jpm put you be now on deck
239,Bullish,jpm watchlist turn green let goo
240,Bullish,jpm over run to fast
241,Bullish,jpm this be like march th trading day low and the high the open it can happen
242,Bullish,snap get on board soon earning call april pm strong rebound setup flexedbiceps flexedbiceps flexedbicep flexedbicep flexedbicep flexedbicep
243,Bullish,snap load up at target alien dashingaway dashingaway money mouthface money mouthface
244,Bearish,snap drop tomorrow it be garbage and belong under
245,Bullish,snap go to moon again tomrrow or sell off spy esf djia let us push tsla
246,Bullish,tech stock to watch tomorrow aapl fb twtr snap pin eye blueheart thumbsupmedium darkskintone
247,Bullish,whitemediumstar freedom stocks watchlist for tomorrow whitemediumstar aal call nhod mid day today and tomorrow get tonight in after hour this should remain top watch at open tomorrow can squeeze bear to imo ccl continue to work extremely well here up ah saudi purchase huge stake here i believe the bottom be officially in this should see by early next week dal airline setup continue to trend higher up over ah here reversal to come very soon pin i really do not see this make new low here hard to believe that this even hit come very soon snap very nice move at open today look to test resistance tomorrow if this manage to break above by end of week will be imminent
248,Bullish,snap
249,Bullish,chgg retake today
250,Bullish,gsector buy wk edu tsn sam chgg post olli mo dltr tgt pm consumer defensive xly xlp growthstock stock finance investment
251,Bullish,chgg should be on the cv gravy train shortly like all the rest zm tdoc
252,Bullish,gsector buy wk edu tsn chgg post olli syy pm burl mo dltr consumer defensive xly xlp growthstock stock finance investment
253,Bullish,chgg very nice action here be willing cover call and have my cost basis down to about now let go to
254,Bullish,chgg should also be in portfolio
255,Bullish,twtr this board suck
256,Bullish,snap and twtr seem to quotsettledquot back in january we will find out during this er lot of speculation but from the sp no know obviously
257,Bullish,watch twtr closely this week to see if it can hold the level break below will likely drive the price down to hope for another bounce off of as that seem like good entry point for the overall risk reward were see in the chart this week
258,Bullish,stock set to flourish in the coronavirus economy amzn fb twtr grub uber
259,Bearish,spy amd aapl msft mu read this please take the right action
260,Bullish,aaoi zuckerberg say facebooks service be face quotbig surgesquot in usage as the coronavirus force million around the world to stay home describe it as quotwell beyondquot the main annual spike usually see on new years eve voice and video call on whatsapp and facebook messenger in particular be at more than double their usual level cnn folk we need more datum transceiver and cable service msft fb amzn
261,Bullish,my cousin be doctor i hear medical advice from him directly ive be manage his investment for several year so weve mutual trust picture provide by him the greatest weapon we have now to minimize the spread of covid be social distancing all of us need to cooperate vaccine be be test which will be quota game changerquot but unfortunately it will not be available before september that be the early if testing go well social distancing if implement correctly will significantly reduce the spread of the disease basically we be break the virus transmission cycle the virus would have no host to replicate this will speed up the elimination of this epidemic pandemic with the help of other measure like wash hand frequently etc please cooperate amd fb nflx msft mu
262,Bullish,msft there be now daily active user of microsoft teams up nearly percent from last week
263,Bullish,ino like this post if you believe inovio can match moderna marketcap if the st stage human trial of ino vaccine be prove successful mrna msft tsla spce
264,Bearish,msft let take this overvalue pig below do not believe the wallstreet recommendation they be com artist they be below water die tell you lie to buy
265,Bullish,yes please cooperate amd fb nflx msft mu
266,Bullish,high demand thing amd fb nflx msft mu
267,Bullish,amd fb nflx msft mu
268,Bullish,what else amd fb nflx msft mu
269,Bullish,hmm amd fb nflx msft mu
270,Bullish,alright amd fb nflx msft mu
271,Bullish,optimistic amd fb nflx msft mu
272,Bullish,hmm think about it amd fb nflx msft mu
273,Bullish,nflx this go up when france and spain go on lockdown have to also adjust hd due to surge in user new of more lockdown this week include maybe us will rally this high next week will be bloody for the market but i be bullish on nflx
274,Bullish,nflx big holding will add on every dip today price action give me the feeling big beat and raise on guidance be come look for pop after er that would take this well over
275,Bullish,if you think about it amd fb nflx msft mu
276,Bullish,wouldnt be surprised amd fb nflx msft mu
279,Bearish,dnkn down from suggest short entry project price target area
280,Bullish,dri skyrocket like i say it would up next be dnkn
281,Bullish,dunkin have drive in so this be great bet for massive rebound dnkn
282,Bullish,tsla target price let us go
283,Bullish,tsla watch these bearface bearface get destroy today foldedhandslightskintone fire bearface kitchenknife pigface
284,Bearish,tsla wti crude be under barrel spy
285,Bearish,tsla this shit be responsible for end the bull market back to soon
286,Bearish,tsla almost folk couple more day
287,Bearish,tsla damn miss all these goody
288,Bullish,fb amzn ba market will close green by eod
289,Bullish,fb goog yes facebook and google be go to be around for as long as we know plus they have plenty of cash for sure think of how much they be make now with the endless ad traffic check covid update just wish they would buy back some of their own stock at this great price it presently be at wont be here for long with soth korea and china get control of the virus already
290,Bullish,goog fb djia spy if the world do not have google to assign employee to create our now in use covid screening website in matter of few day what other company could of no yet this stock be not up yet it be in use around the world to halt the coronavirus and be the stock surge yet investor seem to be dumb to not be back google and facebook for their effort to stop this virus asap thank you facebook for keep us informed minute by minute the whole world thank google and facebook for be there when other company couldnt think about where you want your investment dollar to go to
291,Bullish,fb goog nasdaq these company be lead the worldwide screening and information share for covid and they be not strong in the green today whats wrong with you investor
292,Bullish,fb earnings apr grab some shs here oversold
293,Bearish,spy djia aapl tsla bull get ready to buy more call tomorrow
294,Bearish,rcl spy mu amd aapl china china distance itself from us you can not trust china government
295,Bearish,aapl rotten apple wednesday
296,Bearish,aapl mu amd rcl sink ship microbe i be expect spy to break and close below spy thumbsdowndarkskintone low of december on high volume then spy february low will be the next elevator thumbsdowndarkskintonelevel to spy bearish
297,Bearish,aapl mu amd rcl ship microbe i be expect spy to break and close below spy thumbsdowndarkskintone low of december on high volume then spy february low will be the next elevator thumbsdowndarkskintonelevel to spy
298,Bullish,amzn aapl msft this graphic of the history of pandemic remind me of of those map of the solar system if the bubonic plague be represent by the sun in this illustration then corona would be equivalent to pluto or piece of space dust
299,Bearish,djia spy amzn aapl jim cramer when its be minute since hes call market bottom
300,Bearish,dia bear market rally of equity be common but eventually get swallow to low low that be how it work amateur bulls bear bearface have to eat your money moneybag to grow more violent aapl
301,Bearish,aapl head to price of which be next support level
302,Bearish,aapl may see open
303,Bearish,fb under would be well entry price
304,Bearish,fb back to poutingface
305,Bearish,fb just delete my account they be censor all my post do not need this platform do not need to look at all the advertisement
306,Bullish,snap this will snap back haha
307,Bullish,snap currently top download on the app store and the app have exist for almost year
308,Bullish,snap lmao can not believe people think this company be in trouble
309,Bearish,hmm what fine call please more like that spread some of that snap bs
310,Bearish,ahh you be waste of time i be really tired even talk to you tlry crash from to by december that be pre corona how be that related to this crash take month tsla start crash before the corona because it go up for no reason also not relate take month so far i call snap go from to at i have no position i trade option i dont marry stock and be not delude like yourself so i have be right on all stock pre crisis cv be just catalyst for macro move which be expect and which i call for age but you would not understand that because you know nothing about the economy dont know what liquidity it what be the impact of interest rate and what bond be if you know that you would not spew the bs you be spew now i make money from fool like you chase stock which should not be trade publicly in the first place and would be bk in less bubble market
311,Bearish,spy tvix vxx aapl vxx i have day my big this year as i post this morning as we test low start buy stock congrat to those who follow we arent out of the wood but as ive say bear mkts have vicious rally and you have to have your buy list ready
312,Bullish,were release the btle vaccine to combat covid this be our last hope spy djia bynd aapl nflx
313,Bullish,jpm i think if they can stay firm on refund percentage go on due to beervirus travel booking etc they will be of the first to bounce back over ma axp other
314,Bullish,zom valuengine and columbine capital services both upgrade this stock in the last week wonder what they know gs jpm
315,Bullish,atvi amd nvda msft goog wow the demand be too damn high warzone
316,Bullish,atvi amd nvda msft goog yass
317,Bullish,atvi amd nvda msft goog finally new playstation detail come tomorrow
318,Bullish,goog almost get in at then why not wait until
319,Bullish,choo choo aapl nvda nflx spy qq
320,Bullish,nflx if build and future continue to gain steam can see potential
321,Bullish,nflx incoming
322,Bullish,snap buyers come in short about to get beat on look like
323,Bullish,snap buy
324,Bearish,snap they do anything they can to keep it from break lol
325,Bearish,snap this stock blow
326,Bearish,everyone in this snap thread be start to see what happen when company do not turn profit mix with side of recession this be far from over we have more to drop this month and next be prepared and have cash on side to buy in later much later
327,Bearish,they hate to see playa take care of himself smilingfacewithsunglasse dollarbanknote chartdecreasing thumbsup snap
328,Bullish,aapl amzn goog spy
329,Bullish,spy qq amzn aapl goog hell of time for kitchen reno i be just thankful the medium do not tell you ppl that eat screw nail can cure the virus
330,Bullish,what do you think of this rs price may climb as it break low bollinger band view odd of uptrend
331,Bullish,have you see this rs rsi indicator leave the oversold zone view odd of uptrend
332,Bullish,wow this be big change rs rsi indicator leave the oversold zone view odd of uptrend
334,Bullish,if you be trade this week read this rs rsi indicator leave the oversold zone view odd of uptrend
335,Bullish,do you agree with the ai prediction rs rsi indicator leave the oversold zone view odd of uptrend
337,Bearish,snap doesnt even have positive earning
338,Bullish,snap snap inc snap increase bullish sentiment favor snap the most
339,Bullish,snap have approximately usd go to the short side at pct short the bears be few
340,Bullish,gs doable bottom on hour thumbsup
341,Bearish,gs usd by
342,Bearish,gs corruption enabler here
